t,x,cp,cn,phi
0.029980000000000003,0.78,0.9507985377250823,1.0437874006473808,0.2769233206448104
0.029980000000000003,0.79,0.9472152735807652,1.0475389968250446,0.2868856739407815
0.029980000000000003,0.8,0.9434397408393757,1.051547487155784,0.29685805533732246
0.029980000000000003,0.81,0.9394665233250008,1.0558259848058387,0.3068412430738007
0.029980000000000003,0.8200000000000001,0.9352904461877046,1.0603878369231277,0.3168360621606199
0.029980000000000003,0.8300000000000001,0.9309065996189172,1.065246610181633,0.32684338623189496
0.029980000000000003,0.84,0.9263103623342143,1.070416075435977,0.33686413939358373
0.029980000000000003,0.85,0.9214974246298595,1.0759101916630662,0.3468992980631898
0.029980000000000003,0.86,0.9164638108205548,1.0817430893818452,0.35694989279712086
0.029980000000000003,0.87,0.9112059008687313,1.0879290537550312,0.36701701010179644
0.029980000000000003,0.88,0.9057204510204327,1.0944825075879634,0.37710179422464846
0.029980000000000003,0.89,0.9000046132693648,1.1014179944493148,0.38720544892124786
0.029980000000000003,0.9,0.8940559534789809,1.1087501621461882,0.39732923919491675
0.029980000000000003,0.91,0.8878724680024807,1.1164937467919744,0.4074744930053607
0.029980000000000003,0.92,0.8814525986522288,1.1246635577091852,0.4176426029430589
0.029980000000000003,0.93,0.8747952458832663,1.1332744634112255,0.4278350278664043
0.029980000000000003,0.9400000000000001,0.86789978007014,1.1423413789066956,0.4380532944988695
0.029980000000000003,0.9500000000000001,0.8607660507720986,1.1518792545673306,0.44829899898379655
